Time	SpeedSignalFreq	Speed
2020-10-21T10:37:56.000000+09:00	13	154.25
2020-10-21T10:37:56.020000+09:00	18	154.15
2020-10-21T10:37:56.050000+09:00	23	154.25
2020-10-21T10:37:56.070000+09:00	29	154.23
2020-10-21T10:37:56.100000+09:00	34	154.25
2020-10-21T10:37:56.120000+09:00	40	154.31
2020-10-21T10:37:56.150000+09:00	45	154.25
2020-10-21T10:37:56.170000+09:00	51	154.27
2020-10-21T10:37:56.200000+09:00	56	154.27
2020-10-21T10:37:56.220000+09:00	62	154.27
2020-10-21T10:37:56.250000+09:00	3	154.3
2020-10-21T10:37:56.270000+09:00	8	154.33
2020-10-21T10:37:56.300000+09:00	14	154.11
2020-10-21T10:37:56.320000+09:00	19	154.25
2020-10-21T10:37:56.350000+09:00	25	154.24
2020-10-21T10:37:56.370000+09:00	30	154.22
2020-10-21T10:37:56.400000+09:00	36	154.12
2020-10-21T10:37:56.420000+09:00	41	154.26
2020-10-21T10:37:56.450000+09:00	47	154.29
2020-10-21T10:37:56.470000+09:00	52	154.27
2020-10-21T10:37:56.500000+09:00	58	154.21
2020-10-21T10:37:56.520000+09:00	63	154.21
2020-10-21T10:37:56.550000+09:00	4	154.31
2020-10-21T10:37:56.570000+09:00	10	154.29
2020-10-21T10:37:56.600000+09:00	15	154.3
2020-10-21T10:37:56.620000+09:00	21	154.27
2020-10-21T10:37:56.650000+09:00	26	154.21
2020-10-21T10:37:56.670000+09:00	32	154.38
2020-10-21T10:37:56.700000+09:00	37	154.3
2020-10-21T10:37:56.720000+09:00	43	154.42
2020-10-21T10:37:56.750000+09:00	48	154.3
2020-10-21T10:37:56.770000+09:00	53	154.28
2020-10-21T10:37:56.800000+09:00	59	154.49
2020-10-21T10:37:56.820000+09:00	0	154.39
2020-10-21T10:37:56.850000+09:00	6	154.28
2020-10-21T10:37:56.870000+09:00	11	154.43
2020-10-21T10:37:56.900000+09:00	17	154.33
2020-10-21T10:37:56.920000+09:00	22	154.3
2020-10-21T10:37:56.950000+09:00	28	154.34
2020-10-21T10:37:56.970000+09:00	33	154.33
2020-10-21T10:37:57.000000+09:00	38	154.31
2020-10-21T10:37:57.020000+09:00	44	154.32
2020-10-21T10:37:57.040000+09:00	49	154.19
2020-10-21T10:37:57.070000+09:00	55	154.28
2020-10-21T10:37:57.090000+09:00	60	154.44
2020-10-21T10:37:57.120000+09:00	1	154.19
2020-10-21T10:37:57.140000+09:00	7	154.25
2020-10-21T10:37:57.170000+09:00	12	154.22
2020-10-21T10:37:57.190000+09:00	18	154.14
2020-10-21T10:37:57.220000+09:00	23	154.32
2020-10-21T10:37:57.240000+09:00	28	154.46
2020-10-21T10:37:57.270000+09:00	34	154.25
2020-10-21T10:37:57.290000+09:00	39	154.42
2020-10-21T10:37:57.320000+09:00	45	154.36
2020-10-21T10:37:57.340000+09:00	51	154.42
2020-10-21T10:37:57.370000+09:00	56	154.41
2020-10-21T10:37:57.390000+09:00	62	154.37
2020-10-21T10:37:57.420000+09:00	3	154.32
2020-10-21T10:37:57.450000+09:00	9	154.51
2020-10-21T10:37:57.470000+09:00	15	154.24
2020-10-21T10:37:57.500000+09:00	20	154.45
2020-10-21T10:37:57.520000+09:00	26	154.37
2020-10-21T10:37:57.550000+09:00	31	154.44
2020-10-21T10:37:57.570000+09:00	37	154.35
2020-10-21T10:37:57.600000+09:00	42	154.47
2020-10-21T10:37:57.620000+09:00	48	154.34
2020-10-21T10:37:57.650000+09:00	54	154.55
2020-10-21T10:37:57.680000+09:00	59	154.35
2020-10-21T10:37:57.700000+09:00	1	154.46
2020-10-21T10:37:57.730000+09:00	6	154.4
2020-10-21T10:37:57.750000+09:00	12	154.47
2020-10-21T10:37:57.780000+09:00	18	154.42
2020-10-21T10:37:57.800000+09:00	23	154.36
2020-10-21T10:37:57.830000+09:00	29	154.4
2020-10-21T10:37:57.860000+09:00	34	154.37
2020-10-21T10:37:57.880000+09:00	40	154.42
2020-10-21T10:37:57.910000+09:00	46	154.56
2020-10-21T10:37:57.930000+09:00	51	154.39
2020-10-21T10:37:57.960000+09:00	56	154.47
2020-10-21T10:37:57.980000+09:00	62	154.55
2020-10-21T10:37:58.000000+09:00	3	154.53
2020-10-21T10:37:58.030000+09:00	9	154.44
2020-10-21T10:37:58.050000+09:00	14	154.42
2020-10-21T10:37:58.080000+09:00	19	154.36
2020-10-21T10:37:58.100000+09:00	25	154.37
2020-10-21T10:37:58.130000+09:00	30	154.42
2020-10-21T10:37:58.150000+09:00	36	154.46
2020-10-21T10:37:58.180000+09:00	41	154.43
2020-10-21T10:37:58.200000+09:00	46	154.48
2020-10-21T10:37:58.230000+09:00	52	154.46
2020-10-21T10:37:58.250000+09:00	57	154.47
2020-10-21T10:37:58.280000+09:00	63	154.56
2020-10-21T10:37:58.300000+09:00	4	154.24
2020-10-21T10:37:58.320000+09:00	9	154.5
2020-10-21T10:37:58.350000+09:00	15	154.51
2020-10-21T10:37:58.370000+09:00	20	154.6
2020-10-21T10:37:58.400000+09:00	25	154.48
2020-10-21T10:37:58.420000+09:00	31	154.6
2020-10-21T10:37:58.450000+09:00	36	154.59
2020-10-21T10:37:58.470000+09:00	42	154.56
2020-10-21T10:37:58.500000+09:00	47	154.54
2020-10-21T10:37:58.520000+09:00	52	154.61
2020-10-21T10:37:58.550000+09:00	58	154.62
2020-10-21T10:37:58.570000+09:00	63	154.68
2020-10-21T10:37:58.600000+09:00	5	154.56
2020-10-21T10:37:58.620000+09:00	10	154.66
2020-10-21T10:37:58.650000+09:00	15	154.59
2020-10-21T10:37:58.670000+09:00	21	154.62
2020-10-21T10:37:58.690000+09:00	26	154.64
2020-10-21T10:37:58.720000+09:00	32	154.57
2020-10-21T10:37:58.740000+09:00	37	154.58
2020-10-21T10:37:58.770000+09:00	42	154.53
2020-10-21T10:37:58.790000+09:00	48	154.46
2020-10-21T10:37:58.820000+09:00	53	154.44
2020-10-21T10:37:58.840000+09:00	59	154.62
2020-10-21T10:37:58.870000+09:00	0	154.47
2020-10-21T10:37:58.890000+09:00	5	154.64
2020-10-21T10:37:58.920000+09:00	11	154.4
2020-10-21T10:37:58.940000+09:00	16	154.81
2020-10-21T10:37:58.970000+09:00	22	154.65
